user_id,email,first_name,last_name,age,gender,country,state_province,city,subscription_plan,subscription_start_date,is_active,monthly_spend,primary_device,household_size,created_at
user_00035,ryangross@example.net,Christina,Marshall,31,Male,USA,Pennsylvania,Melissaland,Premium+,25-03-2025,TRUE,19.52,Desktop,1,10:36.7
user_00036,anthony52@example.com,Michael,Peterson,36,Other,USA,Texas,New Stacyland,Premium,29-09-2024,TRUE,9.74,Smart TV,,18:58.4
user_00037,fbrewer@example.com,Christopher,Sullivan,41,Male,Canada,British Columbia,Elizabethstad,Standard,30-03-2024,TRUE,27.56,Desktop,1,17:05.5
user_00038,jacqueline44@example.com,David,Stewart,21,Female,USA,Indiana,East Joanna,Standard,04-10-2024,TRUE,37.01,Mobile,,27:16.3
user_00039,jeremy24@example.org,Joshua,Tran,40,Female,USA,New York,Garciatown,Standard,29-12-2023,TRUE,,Tablet,2,19:52.5
user_00040,shelley71@example.org,Travis,Hernandez,48,Female,USA,Ohio,East Davidchester,Standard,29-11-2024,TRUE,15.84,Tablet,1,59:49.1
user_00041,michelle64@example.net,Chelsea,Meza,29,Female,Canada,Alberta,West Donna,Standard,21-04-2023,TRUE,25.73,Laptop,2,04:27.3
user_00042,enorris@example.com,Jesse,Warner,58,Male,Canada,Alberta,Lake Jesusview,Standard,10-11-2023,TRUE,27.64,Laptop,6,43:26.0
user_00043,charlesmartin@example.com,Scott,Barker,35,Male,Canada,Nova Scotia,Vincentfort,Standard,29-10-2022,TRUE,6.05,Tablet,4,05:41.9
user_00044,anthony39@example.net,Yvonne,Johnston,42,Male,Canada,Newfoundland and Labrador,Stonemouth,Basic,16-02-2023,TRUE,32.85,Mobile,5,48:13.4
user_00045,harrisonricky@example.com,Mia,Jenkins,40,Female,USA,Pennsylvania,Elainefurt,Premium,13-12-2023,TRUE,3.22,Desktop,4,05:43.7
user_00046,ahancock@example.net,Robert,Stone,,Male,USA,Missouri,Wolfborough,Premium+,25-03-2024,TRUE,35.11,Desktop,,57:13.8
user_00047,johnsoncrystal@example.org,Lance,Tran,50,Female,USA,Wisconsin,Port Robin,Premium+,04-06-2025,TRUE,22.98,Smart TV,2,36:44.7
user_00048,robert77@example.org,Andrea,Lee,33,Female,Canada,Manitoba,West Kendrachester,Basic,21-05-2025,TRUE,16.5,Smart TV,,54:41.3
user_00049,mary97@example.org,Amanda,Cook,39,Prefer not to say,USA,Tennessee,Cantuborough,Basic,19-04-2024,TRUE,,Desktop,2,30:18.5
user_00050,floresthomas@example.com,Vanessa,Simpson,47,Male,USA,Georgia,New Tammy,Premium+,12-03-2025,FALSE,2.01,Smart TV,2,50:19.2
user_00051,bowenrobert@example.net,Charles,Morgan,24,Other,USA,Washington,Port Markside,Premium,12-06-2025,FALSE,19.09,Smart TV,2,59:33.7
user_00052,younggabrielle@example.com,Julie,Good,20,Male,Canada,Quebec,Jacksonport,Premium,21-09-2022,TRUE,15.39,Tablet,3,28:00.4
user_00053,hthomas@example.com,George,Lynch,34,Male,USA,Indiana,South Roberta,Standard,13-04-2023,TRUE,30.64,Smart TV,3,08:46.7
user_00054,rsantana@example.net,Charles,Huerta,53,,Canada,British Columbia,Vaughnmouth,Premium,08-03-2023,TRUE,16.83,Gaming Console,,05:37.4
user_00055,patrickhoward@example.com,Andrew,Hill,44,Female,USA,New York,Wallport,Standard,28-05-2024,TRUE,,Mobile,2,54:57.3
user_00056,erica21@example.net,Kyle,Johnson,37,Female,Canada,Quebec,North Renee,Premium,29-10-2024,TRUE,29.14,Desktop,3,02:57.0
user_00057,maria47@example.com,Linda,Mccarty,,Prefer not to say,Canada,British Columbia,Port Erica,Premium,27-06-2025,TRUE,23.46,Tablet,,24:44.0
user_00058,bakerdavid@example.com,Brenda,Rodriguez,,Male,USA,Illinois,Johnsonside,Standard,01-05-2025,TRUE,12.29,Mobile,5,11:17.6
user_00059,debra12@example.org,Kevin,Wilson,40,,USA,Wisconsin,South Shawn,Standard,06-05-2024,TRUE,13,Tablet,3,39:59.1
user_00060,rgilbert@example.org,Jeff,Sampson,22,Male,USA,Tennessee,Lake Michaelstad,Premium,12-10-2023,TRUE,19.03,Mobile,3,53:58.3
user_00061,batesdarlene@example.net,Brent,Sanchez,20,Male,USA,Pennsylvania,North Maria,Standard,05-05-2024,TRUE,3.9,Gaming Console,2,54:53.3
user_00062,ramireztracey@example.org,Lauren,Guerrero,27,Female,USA,Washington,North Michael,Premium,08-05-2024,TRUE,10.7,Desktop,1,53:36.1
user_00063,judyfox@example.net,Thomas,Palmer,26,,Canada,New Brunswick,Gordonton,Standard,17-12-2023,TRUE,20.26,Gaming Console,2,14:06.0
user_00064,gsimmons@example.com,Charles,Morris,40,Female,Canada,New Brunswick,East Joshuashire,Premium,23-09-2023,TRUE,6.76,Gaming Console,3,10:25.0
user_00065,mcguiredanny@example.net,Russell,Gutierrez,38,Female,USA,Pennsylvania,Perryville,Basic,12-11-2023,TRUE,3.95,Desktop,3,47:27.7
user_00066,fjones@example.org,Colin,Cain,,Female,USA,Florida,Elizabethchester,Premium,16-03-2025,TRUE,50.72,Laptop,,09:16.3
user_00067,caroline51@example.net,Eric,Walker,38,Male,USA,Illinois,Meganstad,Standard,14-11-2024,TRUE,24.02,Desktop,1,25:07.1
user_00068,anthony44@example.com,Adam,Knight,30,Male,USA,Tennessee,East Joycetown,Basic,27-10-2024,FALSE,,Tablet,1,34:54.6
user_00069,eric45@example.net,Nicole,Moore,40,Female,USA,Illinois,West Scottchester,Premium,28-05-2024,TRUE,12.48,Tablet,4,14:14.0
user_00070,russell49@example.com,Brandon,Joyce,50,Male,Canada,New Brunswick,East Kevinborough,Premium+,16-11-2024,TRUE,12.47,Laptop,2,25:03.7
user_00071,lburgess@example.org,Amanda,Mason,43,Male,USA,Arizona,South Michelleton,Standard,22-08-2022,TRUE,2.48,Mobile,2,50:26.3
user_00072,amckinney@example.com,Richard,Jackson,28,Female,USA,Michigan,Christopherville,Premium,22-11-2023,TRUE,22.83,Tablet,2,28:54.9
user_00073,julie35@example.org,William,Schmidt,39,Other,Canada,Quebec,Michaelberg,Basic,22-11-2022,TRUE,8.02,Gaming Console,1,24:14.6
user_00074,thompsonkendra@example.com,Karen,Maldonado,44,Female,Canada,Newfoundland and Labrador,Edwardland,Basic,29-11-2023,TRUE,21.07,Gaming Console,2,59:48.4
user_00075,william47@example.com,Brian,Jones,29,Female,Canada,Newfoundland and Labrador,Fordside,Premium,07-12-2023,TRUE,44.32,Smart TV,2,58:17.5
user_00076,susanhayes@example.com,William,Williams,26,Male,Canada,Nova Scotia,Warrenburgh,Standard,14-09-2023,TRUE,13.91,Tablet,2,41:38.3
user_00077,mccormickdeborah@example.org,Cody,Mitchell,35,Female,USA,Massachusetts,Christopherberg,Premium,08-07-2023,FALSE,27.46,Desktop,2,46:12.3
user_00078,angelica52@example.net,Debbie,Romero,53,Female,Canada,Alberta,Kyleborough,Standard,05-06-2025,TRUE,17.93,Laptop,2,54:27.4
user_00079,chrisrichard@example.org,Ebony,Harper,30,Male,USA,Massachusetts,East Marie,Premium,30-09-2024,TRUE,17.62,Tablet,,09:22.2
user_00080,wbishop@example.net,Jesus,Collins,21,Male,Canada,Manitoba,West Erika,Standard,21-12-2023,TRUE,7.47,Gaming Console,1,14:16.5
user_00081,lisasolis@example.org,Brett,Sawyer,56,Other,USA,Georgia,West Christopherburgh,Premium,07-12-2023,TRUE,20.41,Mobile,,57:37.7
user_00082,lisawilkerson@example.org,Brian,Young,,Prefer not to say,USA,Arizona,Jeffreymouth,Premium,06-02-2025,TRUE,12.08,Gaming Console,3,51:01.6
user_00083,mitchellmaria@example.net,Katherine,West,33,Female,USA,Massachusetts,North Jonathanberg,Basic,01-12-2022,TRUE,9.39,Smart TV,5,59:01.7
user_00084,allendanielle@example.net,Bryan,Carlson,50,,Canada,Nova Scotia,Lake Douglas,Standard,03-08-2022,TRUE,6.54,Smart TV,2,52:38.5
user_00085,elizabethmiller@example.com,Stephanie,Myers,48,Female,USA,California,Lake Paulstad,Basic,29-10-2024,TRUE,1.91,Laptop,2,37:26.0
user_00086,jessicafuller@example.net,Dennis,Payne,66,Male,USA,Georgia,Pollardfort,Premium,07-01-2025,TRUE,13.95,Gaming Console,1,43:46.5
user_00087,carterbradley@example.org,Leslie,Robertson,26,Female,USA,Tennessee,Benjaminborough,Standard,28-08-2023,TRUE,14.46,Mobile,,49:55.0
user_00088,david56@example.com,Patricia,Morgan,38,Other,Canada,Alberta,Holtstad,Standard,27-12-2024,TRUE,10.87,Laptop,4,15:28.1
user_00089,manuel15@example.net,Kirk,Jackson,32,,Canada,Quebec,Sergiostad,Standard,29-05-2023,TRUE,,Gaming Console,2,04:14.7
user_00090,william20@example.org,Austin,Young,20,Male,USA,Missouri,Patrickshire,Standard,26-05-2024,TRUE,22.14,Tablet,,10:12.9
user_00091,khines@example.org,Raymond,Wright,27,Female,Canada,Saskatchewan,Lake Jacobhaven,Basic,29-04-2025,TRUE,5.81,Tablet,1,42:24.4
user_00092,nlewis@example.com,James,Farrell,20,Male,Canada,Quebec,Lake Sean,Premium,06-01-2025,TRUE,6.55,Gaming Console,4,03:43.9
user_00093,patricia22@example.com,David,Conner,31,Female,USA,Virginia,Johnsonside,Premium+,27-12-2023,TRUE,16.17,Mobile,,16:10.8
user_00094,parkeryvonne@example.net,Alicia,Morrow,,Male,USA,Georgia,West Dawn,Premium,25-12-2023,TRUE,38.05,Desktop,,32:36.3
user_00095,ryanbartlett@example.org,April,Martin,36,Female,USA,New Jersey,West Stacey,Standard,14-02-2025,TRUE,31.99,Gaming Console,4,53:55.5
user_00096,colleenmendez@example.org,Brittany,Jackson,30,Male,USA,Michigan,Port Michelleland,Premium,06-06-2025,TRUE,7.71,Desktop,1,38:22.4
user_00097,jimenezcourtney@example.com,Timothy,Evans,52,Male,Canada,Prince Edward Island,East Scottfort,Standard,13-03-2023,FALSE,8.84,Desktop,3,45:42.2
user_00098,theresa25@example.net,Luis,Martinez,24,Female,USA,New Jersey,East Colin,Standard,03-06-2025,TRUE,3.68,Gaming Console,1,31:31.1
user_00099,sarah53@example.org,Wendy,Jimenez,20,Female,USA,New York,Johnsonfurt,Premium,26-06-2025,FALSE,14.89,Smart TV,4,03:20.4
user_00100,campbellcarla@example.net,Justin,Boone,22,Female,USA,North Carolina,West Jessica,Premium,07-09-2023,TRUE,,Mobile,4,00:00.9
user_00101,angela16@example.net,Kathy,Bryan,14,Male,USA,Illinois,North Phillip,Premium+,04-04-2024,TRUE,28.98,Smart TV,1,13:21.9
user_00102,cporter@example.org,Jennifer,Stone,45,Female,USA,Missouri,West Sarah,Premium,27-01-2023,TRUE,,Smart TV,3,02:08.6
user_00103,thomas05@example.com,Tina,Robles,40,Male,USA,North Carolina,Bakershire,Premium,30-09-2024,FALSE,15.6,Desktop,4,41:44.4
user_00104,lorraineallen@example.net,James,Edwards,49,,USA,Georgia,Vaughnchester,Standard,15-03-2025,TRUE,12.52,Tablet,3,39:40.0
user_00105,whitney78@example.com,Sue,Barr,22,,USA,Florida,Ericaview,Basic,28-02-2023,TRUE,31.37,Desktop,3,48:05.5
user_00106,shellyhendrix@example.com,Hannah,Stewart,38,Male,Canada,Ontario,Keithshire,Basic,09-04-2025,FALSE,24.79,Desktop,3,47:36.4
user_00107,bobby15@example.com,Julie,Harris,35,Female,Canada,British Columbia,Derrickshire,Standard,24-04-2023,TRUE,8.38,Laptop,4,53:57.5
user_00108,gutierrezjennifer@example.org,Adam,Russell,13,Female,USA,Florida,Santosport,Premium,10-06-2023,TRUE,10.47,Desktop,7,57:52.7
user_00109,amandasharp@example.org,Robert,Peck,24,Prefer not to say,USA,Indiana,Frenchburgh,Premium,19-03-2025,TRUE,,Gaming Console,3,35:44.6
user_00110,justin88@example.com,Melissa,Nelson,49,Female,Canada,Quebec,Franciscomouth,Standard,27-09-2024,TRUE,38.06,Smart TV,6,44:21.4
user_00111,gregorychase@example.com,Zachary,Morales,101,Female,Canada,Manitoba,East Thomas,Basic,09-08-2022,TRUE,8.26,Desktop,3,15:38.0
user_00112,kevin90@example.com,Heather,Contreras,33,Male,USA,Arizona,Erikhaven,Standard,27-08-2024,TRUE,28.67,Mobile,5,05:49.8
user_00113,susanmendoza@example.com,Robert,Todd,37,Male,Canada,New Brunswick,Lake Karen,Standard,28-02-2024,TRUE,15.85,Mobile,3,34:53.0
user_00114,poolerebecca@example.org,Franklin,Wilson,36,Other,Canada,Manitoba,Davishaven,Premium,04-01-2025,TRUE,27.06,Desktop,2,28:10.1
user_00115,jelliott@example.com,Jennifer,Scott,30,Male,Canada,British Columbia,New Charles,Basic,14-08-2023,TRUE,19.82,Desktop,3,49:13.5
user_00116,andersenthomas@example.com,Hector,Cannon,37,Prefer not to say,USA,Illinois,Victoriafurt,Standard,12-03-2025,FALSE,11.76,Tablet,2,08:52.8
user_00117,david86@example.net,Jessica,Davenport,40,Female,Canada,Quebec,Stevenside,Basic,06-03-2024,TRUE,17.91,Smart TV,,35:08.2
user_00118,joshuapineda@example.net,Antonio,Mendez,43,Female,USA,Texas,East Carlos,Basic,04-12-2023,TRUE,50.48,Mobile,2,32:05.0
user_00119,igonzales@example.org,Donald,Young,,Male,USA,Pennsylvania,Joelberg,Premium,29-10-2023,TRUE,,Smart TV,1,42:44.2
user_00120,dpeters@example.com,Kristi,Horton,39,Male,USA,Maryland,West Nicholas,Basic,23-04-2023,TRUE,8.61,Tablet,2,14:31.3
user_00121,jmelendez@example.com,Angela,Price,18,Male,USA,Texas,West Deborah,Premium,15-02-2025,TRUE,1.08,Mobile,4,26:59.6
user_00122,adamsemily@example.net,Morgan,Ballard,32,Other,USA,New Jersey,Clarkmouth,Standard,15-06-2025,TRUE,4.65,Smart TV,2,39:37.8
user_00123,burgesskaren@example.org,Randy,Arnold,,Male,USA,Illinois,Owensstad,Premium,15-05-2023,TRUE,7.55,Tablet,6,19:53.9
user_00124,robin55@example.com,Anna,Figueroa,55,,USA,Indiana,Angelashire,Premium,21-06-2023,TRUE,38.42,Smart TV,2,15:07.2
user_00125,victorpena@example.net,Jonathan,Levy,53,Female,USA,Texas,Jacksonstad,Standard,02-01-2023,TRUE,9.19,Tablet,3,38:52.9
user_00126,combscharles@example.net,Kathy,Taylor,6,Other,Canada,Saskatchewan,Lake Edwardborough,Premium,15-09-2023,TRUE,10.26,Laptop,,04:37.8
user_00127,patelrobert@example.org,Amanda,Smith,36,Male,USA,Maryland,North Samantha,Standard,23-04-2023,TRUE,10.74,Gaming Console,2,36:47.9
user_00128,zmiller@example.com,Veronica,Evans,34,Female,Canada,Prince Edward Island,North Richardfurt,Premium,02-10-2022,TRUE,33.64,Gaming Console,3,36:28.5
user_00129,pbruce@example.com,Patricia,Hall,46,Female,USA,North Carolina,Brandonland,Premium,13-04-2025,TRUE,8.2,Tablet,5,13:40.1
user_00130,alibrenda@example.net,Sarah,Martin,48,Male,USA,Florida,Rhodesside,Basic,26-09-2023,TRUE,21.24,Smart TV,5,38:30.2
user_00131,brian63@example.org,Cassie,Novak,54,Male,USA,Arizona,Lake Joshuamouth,Basic,09-04-2023,TRUE,13.08,Mobile,3,07:06.9
user_00132,bartonkenneth@example.org,Christopher,James,61,Female,USA,North Carolina,Stewartville,Basic,07-08-2022,TRUE,,Laptop,,02:08.8
user_00133,andersonjacob@example.com,Dakota,Gomez,18,Female,Canada,Prince Edward Island,Michelletown,Standard,29-10-2023,TRUE,2.83,Laptop,5,06:49.5
user_00134,ginajackson@example.com,Joseph,Brown,59,Female,Canada,Saskatchewan,Robertfort,Premium+,01-09-2023,TRUE,4.01,Desktop,4,23:13.1
user_00135,stephentaylor@example.org,Martin,Brock,16,Male,USA,Georgia,Cookberg,Premium,19-07-2023,TRUE,15.86,Gaming Console,2,20:43.9
user_00136,snovak@example.net,Tammy,Nguyen,7,Female,USA,Massachusetts,Diazshire,Premium,12-05-2024,TRUE,16.3,Laptop,2,52:48.8
user_00137,nhahn@example.com,Marie,Fuentes,26,Female,USA,California,Taylorport,Basic,05-05-2023,FALSE,2.86,Gaming Console,2,27:49.9
user_00138,colecarla@example.net,Amanda,Stephens,32,Female,USA,Virginia,North Kaylastad,Standard,11-07-2024,TRUE,35.61,Laptop,,51:14.2
user_00139,tammy61@example.org,Jonathan,Griffin,45,Female,USA,Massachusetts,Bartonshire,Standard,15-08-2023,TRUE,17.44,Laptop,3,15:31.0
user_00140,fknapp@example.org,Michael,Gibson,51,Male,USA,Arizona,Baileyville,Standard,01-10-2024,FALSE,22.42,Smart TV,3,08:38.3
user_00141,patrickdarin@example.com,Erica,Spears,34,Prefer not to say,USA,Wisconsin,New Ethan,Premium+,17-06-2025,TRUE,,Tablet,2,29:58.4
user_00142,daniellereynolds@example.org,Shannon,Price,,Male,USA,Wisconsin,West Karen,Basic,25-04-2024,TRUE,14,Desktop,1,03:14.2
user_00143,qwilson@example.com,Candice,Matthews,36,Female,USA,Illinois,Meganburgh,Basic,04-05-2025,TRUE,13.02,Smart TV,1,21:33.2
user_00144,allendaryl@example.com,William,Carlson,59,Female,Canada,Alberta,Lopezside,Standard,01-04-2024,TRUE,38.32,Laptop,1,15:40.1
user_00145,megan90@example.com,Todd,Ochoa,,Female,USA,North Carolina,Cohenchester,Premium+,19-01-2024,TRUE,10.81,Mobile,2,06:59.3
user_00146,antonio38@example.com,Kimberly,Dunn,29,Male,USA,Illinois,West Kimberlystad,Premium+,11-11-2024,FALSE,23.27,Gaming Console,3,17:50.2
user_00147,fitzgeralddesiree@example.org,Nancy,Cole,30,Female,USA,Massachusetts,South Michelleville,Premium,20-03-2023,TRUE,24.56,Smart TV,2,55:51.2
user_00148,christinaglover@example.org,Ashley,Carlson,9,Female,USA,New Jersey,Tiffanyport,Premium,20-04-2024,TRUE,7.45,Gaming Console,5,18:42.0
user_00149,riddlemichelle@example.org,John,Poole,18,Female,Canada,Newfoundland and Labrador,Thomasview,Standard,17-09-2023,TRUE,2.54,Gaming Console,4,22:44.2
user_00150,rrobertson@example.net,Shawn,Murphy,44,Male,Canada,Manitoba,Lake Teresastad,Premium+,21-12-2024,TRUE,16.45,Gaming Console,1,01:37.3
user_00151,troymorris@example.com,Amy,Knight,25,Male,USA,New York,Patriciaton,Premium,19-11-2022,TRUE,5.53,Laptop,4,50:51.0
user_00152,bbryant@example.org,Nicole,Moore,23,Male,USA,Washington,Lake Michaelland,Premium,30-07-2024,TRUE,11.15,Smart TV,3,33:24.1
user_00153,rubendavis@example.org,Jason,Anderson,25,Female,USA,New York,Smithmouth,Standard,20-07-2025,TRUE,11.84,Desktop,3,49:11.2
user_00154,perezchristopher@example.org,Lawrence,Taylor,51,Female,Canada,Saskatchewan,North Alyssa,Basic,31-05-2024,TRUE,18.18,Smart TV,2,06:35.7
user_00155,samanthajensen@example.com,Christopher,Taylor,43,Female,Canada,Quebec,Bellchester,Premium,16-12-2024,TRUE,18.64,Mobile,,11:17.7
user_00156,angelagreene@example.net,Kimberly,Abbott,31,Male,USA,Virginia,New Catherine,Basic,29-10-2024,TRUE,,Tablet,2,11:59.0
user_00157,pcruz@example.com,Allison,Hatfield,,,USA,Texas,South Michelle,Standard,06-09-2023,TRUE,2.88,Tablet,8,18:35.2
user_00158,matthewsalexander@example.org,Sandra,Hunter,15,Other,USA,Missouri,Milesland,Premium,02-06-2023,TRUE,27.31,Laptop,1,44:39.7
user_00159,amandamyers@example.net,Kyle,Blair,28,Female,USA,Illinois,East Christopherchester,Basic,11-12-2023,TRUE,,Desktop,2,10:46.7
user_00160,smithderrick@example.org,Tyler,Mills,11,Male,USA,Florida,West David,Premium,13-10-2024,FALSE,17.58,Smart TV,8,12:38.1
user_00161,lindsay48@example.org,Jennifer,Crawford,36,Prefer not to say,USA,Wisconsin,South Micheleburgh,Basic,21-01-2023,TRUE,284.95,Mobile,1,31:09.3
user_00162,joycesmith@example.org,Brandon,Reyes,35,Male,USA,Tennessee,Port Austin,Basic,05-04-2023,FALSE,17.7,Laptop,5,06:30.8
user_00163,margaret95@example.org,Harry,Finley,26,Female,USA,Wisconsin,Clineport,Basic,04-11-2022,TRUE,,Mobile,1,15:35.3
user_00164,anne49@example.org,Micheal,Cuevas,21,Male,USA,Maryland,East Adam,Standard,28-08-2022,TRUE,2.92,Gaming Console,2,13:58.2
user_00165,aaron64@example.org,Alyssa,Barnes,35,Prefer not to say,USA,Illinois,Lake Joshua,Premium,07-05-2025,TRUE,24,Mobile,,03:34.7
user_00166,fvillegas@example.net,William,Jones,38,Female,USA,Michigan,Batesberg,Standard,17-06-2023,TRUE,16.94,Mobile,1,04:36.2
user_00167,louis43@example.org,Derek,Moore,36,,USA,Arizona,Owenschester,Basic,11-03-2024,FALSE,15.17,Gaming Console,1,52:55.7
user_00168,melissa12@example.net,Margaret,Lewis,5,Male,Canada,Alberta,North Jennifer,Standard,10-10-2023,TRUE,14,Smart TV,2,46:23.2
user_00169,anthonysullivan@example.com,Cody,Lara,34,,USA,Virginia,North Bryanbury,Standard,07-03-2023,TRUE,19.02,Gaming Console,1,35:06.0
user_00170,samantha10@example.org,Rachel,Lamb,23,Male,USA,Texas,Davidmouth,Premium,02-02-2023,TRUE,18.12,Tablet,,46:59.9
user_00171,rjohnson@example.com,Michael,Hill,28,Female,USA,Massachusetts,North Christina,Basic,11-07-2024,TRUE,10.45,Smart TV,2,57:59.9
user_00172,millerpatrick@example.com,Dawn,Mccoy,46,Female,USA,Wisconsin,Caseystad,Premium,20-03-2024,TRUE,18.23,Tablet,,51:13.7
user_00173,bnelson@example.com,Anthony,Brown,30,Prefer not to say,USA,Arizona,Katiebury,Standard,19-11-2022,TRUE,4.57,Gaming Console,2,37:38.6
user_00174,barbaramcgrath@example.com,Savannah,Thompson,40,Male,Canada,Prince Edward Island,Robintown,Premium,05-06-2025,TRUE,4.41,Desktop,6,55:27.8
user_00175,lweaver@example.com,Christopher,Guzman,45,Female,USA,Florida,Smithborough,Standard,10-08-2023,TRUE,3.87,Mobile,,07:40.2
user_00176,johnsonbrenda@example.org,Meghan,Yu,40,Female,Canada,New Brunswick,Willismouth,Standard,21-07-2023,FALSE,30.07,Smart TV,3,33:30.6
user_00177,lbanks@example.net,Jeffrey,Gray,16,Female,Canada,Quebec,East Jessica,Basic,19-02-2025,FALSE,9.56,Tablet,2,56:49.7
